event_id,investigation_type,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,state_code,US_State,Abbreviation
20130226X32006,Accident,2013-02-26,"Peoria, AZ",United States,Non-Fatal,Substantial,Airplane,BLUMER,CHALLENGER II SPEC,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,AZ,Arizona,AZ
20130305X05303,Accident,2013-02-28,"Sterling, AK",United States,Non-Fatal,Substantial,Airplane,ISAAK PAUL G,ISAAK SUPER CUB,Yes,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Unknown,AK,Alaska,AK
20130305X11829,Accident,2013-03-04,"Terrell, TX",United States,Fatal,Destroyed,Airplane,FISHER MICHAEL E,CELEBRITY,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,TX,Texas,TX
20130307X45054,Accident,2013-03-04,"Bellevue, WA",United States,Non-Fatal,Substantial,Airplane,WESTON,SEA-ERA,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,WA,Washington,WA
20130308X35142,Accident,2013-03-08,"Chickaloon, AK",United States,Non-Fatal,Substantial,Airplane,NELSON LARRY L,WAG AERO 2+2,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,AK,Alaska,AK
20130311X20744,Accident,2013-03-09,"Punta Gorda, FL",United States,Non-Fatal,Substantial,Airplane,781569 INC,FX 210,Yes,1.0,Reciprocating,Personal,0.0,3.0,0.0,0.0,VMC,Unknown,FL,Florida,FL
20130312X95409,Accident,2013-03-12,"Spanish Fork, UT",United States,Non-Fatal,Substantial,Airplane,FRANKLIN,GLASAIR II,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,UT,Utah,UT
20130314X15720,Accident,2013-03-14,"Mount Airy, NC",United States,Non-Fatal,Substantial,Airplane,ALLEN,BD-5,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,NC,North Carolina,NC
20130318X73339,Accident,2013-03-18,"Bountiful, UT",United States,Non-Fatal,Substantial,Airplane,Andre Kostrzewa,Mustang 2,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,UT,Utah,UT
20130325X91511,Accident,2013-03-25,"Maricopa, AZ",United States,Non-Fatal,Substantial,Airplane,OWENS,VELOCITY 173,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Unknown,AZ,Arizona,AZ
20130405X61906,Accident,2013-04-04,"Spearfish, SD",United States,Non-Fatal,Substantial,Airplane,Walker Phil,RV-6A,Yes,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Unknown,SD,South Dakota,SD
20130412X01737,Accident,2013-04-11,"Polk City, FL",United States,Non-Fatal,Substantial,Airplane,MAXFLY INC/MCKAY WM,SEAREY,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,Unknown,FL,Florida,FL
20130412X91833,Accident,2013-04-11,"Polk City, FL",United States,Non-Fatal,Substantial,Airplane,FRANKE RUSSELL J,SEAREY,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,FL,Florida,FL
20130412X94025,Accident,2013-04-12,"Midland, LA",United States,Non-Fatal,Substantial,Airplane,ATKINS,ACRO-SPORT I,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,LA,Louisiana,LA
20130415X35220,Accident,2013-04-12,"Avon Park, FL",United States,Non-Fatal,Substantial,Airplane,HARRIS PIERCE,VELOCITY XL RG,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,FL,Florida,FL
20130413X91057,Accident,2013-04-13,"Alexandria, LA",United States,Non-Fatal,Substantial,Airplane,EDWARD W GRAY,LANCAIR 360,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,LA,Louisiana,LA
20130414X04421,Accident,2013-04-14,"St. Lucie, FL",United States,Fatal,Substantial,Airplane,SCHOONOVER JOHN D,KIT FOX IV 1200,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,FL,Florida,FL
20130417X00301,Accident,2013-04-14,"Bloomington, IN",United States,Non-Fatal,Substantial,Airplane,Needham,Stoddard-Hamilton TD,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,IN,Indiana,IN
20130529X72629,Accident,2013-04-15,"Diboll, TX",United States,Non-Fatal,Destroyed,Airplane,JANS ROBERT,FALCON XP,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,TX,Texas,TX
20130416X00339,Accident,2013-04-16,"Blaine, MN",United States,Non-Fatal,Substantial,Airplane,WING HAROLD,KITFOX II,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,MN,Minnesota,MN
20130418X00011,Accident,2013-04-17,"Salisbury, NC",United States,Non-Fatal,Substantial,Airplane,POOLE ROBERT C JR,Van's,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,NC,North Carolina,NC
20130420X22041,Accident,2013-04-20,"Bullhead City, AZ",United States,Fatal,Substantial,Airplane,HOFFMAN,RV-4,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,AZ,Arizona,AZ
20130429X83907,Accident,2013-04-29,"Valkaria, FL",United States,Fatal,Substantial,Gyrocraft,DANIELS,DOMINATOR,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,FL,Florida,FL
20130502X32859,Accident,2013-05-01,"Cortland, OH",United States,Non-Fatal,Substantial,Airplane,ALEXANDER DUANE A,RV-8,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,OH,Ohio,OH
20130604X85058,Accident,2013-05-01,"Baumkirchen, Austria",Austria,Fatal,Substantial,Airplane,BEDE,5J,Yes,1.0,Unknown,Personal,1.0,0.0,0.0,0.0,Unknown,Unknown,Austria,,
